rank of	rank:80,80,;
with boolean	with:95,95,;
is being	is:98,108,108,;
same paper	same:60,90,;
a commercial	a:63,63,;
term into	term:67,69,;
each retrieval	each:72,72,;
block as	block:73,73,;
kinds of	kinds:63,;
found are	found:86,;
that provide	that:66,83,66,;
retrieval the	retrieval:77,77,;
answer system	answer:88,;
automation what	automation:40,40,;
english database	english:93,93,;
and truncation	and:63,63,;
first the	first:73,73,;
are consistent	are:93,;
transform by	transform:98,;
evaluation results	evaluation:102,;
further use	further:7,7,;
fit to	fit:80,80,;
introduced as	introduced:95,;
indexing theories	indexing:102,;
b are	b:90,;
large set	large:86,;
minicomputer ease	minicomputer:69,;
combine cost	combine:89,;
this problem	this:45,45,;
conclusion be	conclusion:100,;
attempts have	attempts:44,;
retrieval produce	retrieval:72,;
authors names	authors:91,;
than previous	than:97,97,;
strategy for	strategy:70,;
measures of	measures:60,;
also provides	also:98,;
of normalization	of:77,82,82,;
field possibility	field:24,;
and concentrate	and:75,;
output of	output:78,78,;
clustering where	clustering:93,93,;
mechanism which	mechanism:97,97,97,;
research in	research:43,43,;
for program	for:24,;
by an	by:94,;
into their	into:67,;
the graph	the:90,90,;
weighting be	weighting:95,;
of major	of:58,58,;
journals the	journals:80,;
did not	did:106,;
document title	document:67,67,;
running at	running:85,;
there be	there:44,47,47,50,50,;
were then	were:60,;
toward decentralization	toward:58,58,;
researcher and	researcher:5,15,39,15,;
design the	design:63,;
question of	question:76,76,;
all other	all:91,91,;
weight be	weight:62,;
than when	than:68,68,;
what ways	what:47,;
the desirable	the:62,62,;
same way	same:90,90,;
better than	better:72,106,;
research and	research:48,109,48,109,;
there an	there:41,;
involve a	involve:72,;
cited causal	cited:91,;
attitudes and	attitudes:39,;
the information	the:21,24,42,71,105,21,24,42,71,105,;
characteristic in	characteristic:102,;
language based	language:88,;
are then	are:73,84,102,;
many document	many:68,68,;
document interchange	document:83,83,;
and automatically	and:18,18,;
information scientists	information:90,100,;
of code	of:34,;
well as	well:15,77,79,109,15,77,79,109,;
matches each	matches:67,;
directly to	directly:66,66,;
than those	than:72,;
use the	use:39,71,88,90,93,102,106,111,39,106,;
brought an	brought:58,;
data a	data:80,;
a method	a:77,93,77,93,;
are they	are:5,15,40,48,;
and modify	and:61,61,61,61,;
weighting by	weighting:93,93,;
criterion have	criterion:13,;
system utlas	system:74,74,;
problems difference	problems:86,;
in all	in:71,71,;
border authors	border:109,;
this relational	this:82,;
computerized index	computerized:29,34,29,34,;
or document	or:64,64,;
a broad	a:81,83,81,83,;
control condition	control:99,;
be tuned	be:73,;
other model	other:65,;
blocks have	blocks:40,;
of these	of:49,61,68,73,74,93,105,109,;
the two	the:64,72,89,91,95,64,72,89,91,95,;
be cite	be:109,;
with previously	with:112,112,;
library can	library:48,;
catalog or	catalog:56,56,;
boolean based	boolean:106,;
activities in	activities:110,;
measure the	measure:104,;
often difficult	often:48,48,;
select and	select:67,;
user needs	user:63,;
supports them	supports:48,;
uses of	uses:39,53,;
system named	system:99,;
be present	be:73,75,82,82,85,89,94,;
article from	article:1,;
what purpose	what:53,;
a full	a:65,86,93,65,86,93,;
drawn online	drawn:109,;
foundation for	foundation:106,106,;
measures is	measures:59,;
in meaningful	in:37,37,;
atn s	atn:78,78,;
edit and	edit:69,69,;
million articles	million:44,;
separate might	separate:76,76,;
and software	and:94,103,94,103,;
be careful	be:63,63,;
attention is	attention:76,;
system responses	system:98,;
quote and	quote:110,;
the node	the:90,;
change and	change:38,38,;
field be	field:42,42,;
heuristic during	heuristic:67,;
each stage	each:78,78,;
easily and	easily:103,103,;
those of	those:72,93,;
which exploit	which:79,;
pertinent data	pertinent:2,;
elsewhere be	elsewhere:108,;
journal to	journal:80,;
isolate a	isolate:95,95,;
national language	national:36,36,;
the efficiency	the:65,65,;
practice is	practice:48,;
algebra and	algebra:82,82,;
the 298	the:91,91,;
practice in	practice:36,46,;
that individual	that:61,;
be one	be:80,;
possibilities are	possibilities:6,9,;
relational language	relational:82,82,;
retrieval prevalence	retrieval:84,84,;
or an	or:106,;
need education	need:39,39,;
key into	key:58,;
queries promotes	queries:81,;
authors within	authors:109,109,;
by proximity	by:93,93,;
prove beneficial	prove:101,;
for lexically	for:81,81,;
these groups	these:109,;
are seen	are:63,86,86,;
or be	or:48,;
oclc inc	oclc:66,74,66,74,;
and running	and:112,112,;
communications technology	communications:100,;
and critically	and:79,79,;
degrees to	degrees:95,;
tasks and	tasks:70,;
desired criteria	desired:97,;
to another	to:36,40,36,40,;
who support	who:48,;
investigations have	investigations:98,;
the method	the:59,59,59,71,71,79,79,86,59,59,59,71,71,79,;
rule satisfies	rule:95,;
design strategy	design:70,70,;
weighting is	weighting:95,;
become a	become:70,70,;
linguistic and	linguistic:81,81,;
field a	field:71,;
running time	running:112,112,;
databases improving	databases:93,;
by differences	by:63,;
version of	version:85,94,85,;
simple incremental	simple:85,85,;
document had	document:107,;
paper notes	paper:100,;
catalog records	catalog:87,;
field of	field:40,71,40,71,;
to direct	to:59,59,;
have show	have:71,;
compared the	compared:60,;
base inquiry	base:85,85,;
establish dynamic	establish:86,;
coefficicent for	coefficicent:112,;
block of	block:73,73,;
computation of	computation:68,68,;
field have	field:70,;
does not	does:75,111,;
have on	have:8,8,;
version on	version:85,85,;
translate compuyter	translate:99,;
database system	database:79,79,;
certain specify	certain:90,;
two at	two:90,90,;
natural sciences	natural:49,;
appearing in	appearing:84,;
system queries	system:96,;
librarian of	librarian:54,;
library collier	library:89,;
uses an	uses:75,;
individual looking	individual:57,;
science but	science:49,;
construct base	construct:71,;
but indicate	but:107,;
sheldon documents	sheldon:91,;
research on	research:48,48,;
document have	document:68,71,107,;
the detailed	the:80,80,;
purpose of	purpose:90,96,90,96,;
generate a	generate:97,;
2400 documents	2400:93,;
absolute or	absolute:59,59,;
base they	base:59,;
and indicate	and:93,93,;
field or	field:37,;
as employ	as:84,;
of library	of:76,76,107,76,76,107,;
two systems	two:95,;
economics of	economics:89,89,;
of their	of:16,59,63,75,;
design cost	design:79,79,;
other architecture	other:83,;
and coordination	and:58,58,;
producers therefore	producers:105,;
way and	way:90,90,;
local information	local:81,81,;
publication printing	publication:12,12,;
center e	center:66,66,;
cross reference	cross:67,;
are processed	are:111,;
of journals	of:80,80,;
and we	and:97,97,;
usefulness in	usefulness:63,63,;
author offer	author:109,;
distinguished search	distinguished:66,;
as well	as:15,77,79,95,109,15,77,79,95,109,;
but not	but:59,89,59,89,;
characteristic of	characteristic:49,52,102,102,;
terms of	terms:44,59,73,79,94,104,;
an additional	an:91,;
the computation	the:68,68,68,68,;
method consist	method:93,;
cocitation data	cocitation:60,60,;
these record	these:73,;
well to	well:99,99,;
possibility of	possibility:85,85,;
effective than	effective:65,65,102,65,65,102,;
general architecture	general:85,88,85,88,;
schemes is	schemes:41,;
models it	models:65,;
models is	models:80,;
file to	file:68,112,68,112,;
systematic bias	systematic:61,;
more common	more:106,106,;
prepare print	prepare:69,69,;
machine readable	machine:69,69,;
will provide	will:83,83,;
and to	and:15,85,15,85,;
usefulness of	usefulness:101,101,;
systems and	systems:39,81,85,98,100,106,;
research are	research:85,;
that management	that:70,70,;
decade its	decade:82,82,;
applied to	applied:71,93,;
practice be	practice:48,;
use a	use:71,75,86,88,112,88,;
suggested that	suggested:61,68,;
the ever	the:110,110,;
represent a	represent:70,70,;
major term	major:102,102,;
existing systems	existing:85,;
process be	process:101,101,;
the discussion	the:74,74,;
have no	have:68,;
map input	map:75,75,;
new development	new:58,;
is very	is:70,;
use weighting	use:93,;
staff decisions	staff:69,;
search and	search:65,108,;
b where	b:80,80,;
relevance weight	relevance:96,;
librarians what	librarians:54,;
suggest for	suggest:102,;
and fourth	and:82,82,;
weights from	weights:97,;
executive will	executive:39,;
increase dramatically	increase:92,;
drexel university	drexel:108,108,;
database scheme	database:81,81,;
demonstrate the	demonstrate:82,87,87,101,87,87,101,;
word use	word:110,;
model the	model:70,;
we calculate	we:60,;
an entire	an:75,;
language structure	language:88,88,;
a weighting	a:95,95,;
transform to	transform:77,;
use recall	use:106,;
force many	force:110,;
circumvent the	circumvent:59,;
for each	for:60,72,77,60,72,77,;
they are	they:63,;
or technology	or:71,71,;
and of	and:52,94,52,94,;
recall simultaneously	recall:93,93,;
vocabulary a	vocabulary:104,104,;
be sketch	be:73,;
and or	and:97,97,97,97,;
comprehend nuance	comprehend:36,;
hierarchical tree	hierarchical:77,77,;
programmer is	programmer:43,;
four automated	four:106,;
save the	save:7,;
its associate	its:83,;
full search	full:65,65,;
factors affecting	factors:74,;
sketch and	sketch:73,;
presently working	presently:7,;
ther property	ther:62,;
or library	or:48,;
languages for	languages:88,;
emerge or	emerge:48,;
a decomposition	a:78,78,;
field we	field:90,90,;
interfaces based	interfaces:99,;
the list	the:112,;
worker and	worker:39,;
group and	group:109,109,;
language for	language:88,;
assesses the	assesses:105,;
datum retrieval	datum:94,;
need to	need:21,78,21,;
file in	file:77,77,;
impractical for	impractical:63,63,;
file is	file:111,;
are considered	are:90,;
search aid	search:98,;
indicate the	indicate:107,;
and lists	and:38,;
have it	have:50,;
stages are	stages:77,;
coding the	coding:43,43,;
interrogate system	interrogate:98,;
devices may	devices:100,;
control language	control:51,;
problem block	problem:47,;
certain of	certain:111,111,;
experiments using	experiments:93,;
be spend	be:49,;
queries solicited	queries:106,;
has it	has:50,;
what definition	what:38,;
evolution they	evolution:70,70,;
for relevance	for:59,59,;
data retrieval	data:94,;
and for	and:37,37,;
frequency terms	frequency:102,;
and maintenance	and:107,107,;
solicited from	solicited:106,;
another how	another:36,36,;
by drexel	by:108,108,;
able to	able:99,99,;
will understand	will:43,43,;
select significant	select:71,71,;
four were	four:91,;
or only	or:40,40,;
catalog be	catalog:87,;
traces their	traces:76,;
terms the	terms:69,102,;
case labels	case:77,;
libraries collier	libraries:89,;
were measured	were:106,;
whole hence	whole:73,73,;
are largely	are:101,;
and also	and:74,74,;
storage access	storage:73,;
uncertainty these	uncertainty:61,;
work on	work:97,97,;
science technique	science:70,;
finished this	finished:70,;
is correctly	is:105,;
of user	of:83,99,107,83,107,;
information space	information:64,64,;
human searcher	human:59,;
leads to	leads:80,93,;
usages showed	usages:99,;
in local	in:81,81,;
characteristic but	characteristic:102,;
mathematics in	mathematics:10,10,;
proximity of	proximity:109,;
unknown parameters	unknown:80,80,;
an improved	an:97,;
to construct	to:61,61,;
emerge for	emerge:90,90,;
terms in	terms:62,68,102,102,104,104,111,112,;
conclusion is	conclusion:100,;
overall occurrence	overall:102,102,;
help the	help:61,;
the cost	the:87,89,87,89,;
the aims	the:55,;
concept datum	concept:81,;
semantic domain	semantic:85,85,;
bring problem	bring:58,;
equipment and	equipment:46,46,;
term the	term:69,102,;
be describe	be:65,66,69,71,73,84,84,85,98,101,111,112,;
and in	and:69,69,;
terms if	terms:68,;
suggested approximate	suggested:86,;
noun clause	noun:77,77,;
bias be	bias:61,;
and is	and:41,47,72,80,;
and it	and:62,62,;
oriented natural	oriented:85,;
three additional	three:74,74,;
the problem	the:38,47,49,62,94,96,96,104,38,62,94,96,104,;
not perform	not:106,106,;
understand before	understand:42,;
boolean expressions	boolean:96,;
by assigning	by:69,;
if at	if:49,49,;
systems brought	systems:58,;
been solved	been:49,;
criteria which	criteria:97,;
special efficiently	special:81,81,;
method relating	method:86,;
research issue	research:70,;
file of	file:69,;
clusters has	clusters:65,;
comparing the	comparing:67,89,102,112,;
herein are	herein:83,;
in output	in:72,72,;
with subscriptions	with:89,;
collected and	collected:87,;
in today	in:56,56,;
searching for	searching:61,;
similar concept	similar:69,;
influence the	influence:67,67,;
process of	process:69,70,108,69,70,108,;
to log	to:80,80,;
queries based	queries:84,;
si movement	si:91,91,91,91,;
documents according	documents:67,;
of papers	of:90,90,91,;
ways in	ways:73,;
in each	in:67,106,67,106,;
parallel search	parallel:101,101,;
and office	and:83,83,;
what problems	what:1,5,40,53,;
learn the	learn:39,39,39,39,;
change be	change:54,;
common form	common:98,98,;
better international	better:47,;
examined in	examined:76,;
measure use	measure:106,;
been demonstrated	been:61,;
mediate between	mediate:58,58,;
testing since	testing:59,59,;
vocabulary used	vocabulary:111,;
personnel training	personnel:39,39,;
criterion we	criterion:97,;
then forms	then:62,;
well probabilistic	well:95,95,;
article to	article:1,80,;
of search	of:63,108,;
have difficulty	have:42,;
systematic biases	systematic:61,;
and technical	and:44,44,;
carried out	carried:107,;
proper information	proper:5,5,;
principles of	principles:78,;
useful two	useful:107,107,;
architecture as	architecture:83,;
retrieve a	retrieve:91,103,91,;
improve precision	improve:93,;
its input	its:78,78,;
three of	three:91,91,;
technology area	technology:110,110,;
present day	present:110,110,;
office of	office:110,110,;
78 of	78:67,67,;
form a	form:73,73,;
still yields	still:59,;
experience between	experience:85,;
lc entries	lc:57,;
possible use	possible:53,;
retrieved a	retrieved:103,;
one another	one:90,90,;
appear every	appear:44,44,44,44,;
as the	as:56,79,83,109,56,79,83,109,;
be avoid	be:68,;
suited to	suited:50,50,93,50,50,93,;
of contents	of:106,106,;
pair will	pair:68,;
workers and	workers:39,;
automated analysis	automated:106,;
materials is	materials:76,;
a intermediate	a:68,;
system based	system:63,;
select example	select:85,;
programmer be	programmer:43,;
be meet	be:95,;
list processing	list:101,101,;
actual experiences	actual:85,;
document in	document:68,103,111,112,;
also provide	also:98,;
document is	document:65,105,105,;
distributed information	distributed:81,;
retrieve papers	retrieve:60,91,;
map s	map:109,109,;
deficiency of	deficiency:95,95,;
way the	way:89,89,;
an online	an:87,;
can the	can:53,53,;
parallel processing	parallel:101,101,101,101,;
other 3	other:109,109,;
are terms	are:93,;
difficult question	difficult:72,72,;
or reproducible	or:59,59,;
examples pertinent	examples:82,;
science can	science:109,109,;
organizing material	organizing:37,;
from pre	from:67,67,;
only at	only:89,89,;
nonrelevant document	nonrelevant:102,;
their structure	their:90,;
especially by	especially:98,98,;
tree be	tree:104,104,;
the other	the:64,68,95,106,64,95,106,;
routine job	routine:110,110,;
relevant documents	relevant:65,84,;
future machine	future:49,49,;
an interdependence	an:58,;
a conventional	a:46,46,;
of large	of:59,59,;
is support	is:70,;
relevance property	relevance:102,102,102,;
that associated	that:95,;
sample datum	sample:107,;
of what	of:51,52,90,51,52,90,;
appear important	appear:42,;
international system	international:25,;
some writer	some:70,;
their distances	their:109,;
sections the	sections:67,;
indexing term	indexing:68,;
scheme satisfies	scheme:95,;
through a	through:70,;
of survey	of:86,;
distributed architecture	distributed:103,;
document of	document:102,102,;
can these	can:56,;
machine system	machine:50,;
consideration must	consideration:63,63,;
they the	they:109,;
be separate	be:76,76,;
writers dss	writers:70,;
an analysis	an:89,94,;
graph with	graph:90,90,;
iteration use	iteration:93,;
then introduce	then:95,102,;
the service	the:58,58,;
divergent groups	divergent:109,;
evaluation result	evaluation:102,;
not to	not:63,63,;
automate the	automate:110,110,;
content analysis	content:102,102,;
react to	react:45,45,;
hard than	hard:91,;
all the	all:104,104,;
is accurately	is:105,;
relatively harder	relatively:91,;
of equipment	of:46,46,;
other a	other:83,;
showed one	showed:59,;
and title	and:32,32,;
datum basis	datum:87,88,;
they locate	they:48,;
describing research	describing:43,;
subsequent writer	subsequent:91,;
error in	error:86,86,;
c be	c:80,;
heuristics during	heuristics:67,;
traditional boolean	traditional:62,95,95,62,95,95,;
searching seem	searching:89,;
researchers and	researchers:5,39,;
the speak	the:6,;
pairs of	pairs:91,109,;
paper tackles	paper:104,;
n at	n:90,90,;
has been	has:40,52,65,67,71,71,97,99,;
program assigned	program:67,;
who supports	who:48,;
system developed	system:85,;
represented as	represented:90,;
lexical subsystem	lexical:81,81,81,;
in conventional	in:101,101,;
research issued	research:70,;
transformed to	transformed:77,;
cited and	cited:60,;
is prescribed	is:78,;
form of	form:41,47,72,75,41,47,75,;
find be	find:86,;
purpose in	purpose:102,;
linguistic model	linguistic:85,;
importance for	importance:102,102,;
document on	document:61,;
which plays	which:81,;
possibly in	possibly:109,109,;
database and	database:81,92,93,93,97,93,97,;
each other	each:37,109,109,37,109,109,;
partially satisfy	partially:97,97,;
equipment used	equipment:43,;
be intend	be:85,;
formulas for	formulas:18,;
particular attention	particular:76,76,76,76,;
sort by	sort:60,;
a large	a:61,61,97,110,61,61,110,;
intermediate similarity	intermediate:68,68,;
library information	library:74,;
regional multistate	regional:74,74,;
parallel list	parallel:101,101,;
describe for	describe:84,112,;
create that	create:87,;
analysis while	analysis:108,108,;
to deal	to:81,81,;
problem how	problem:45,45,;
falsely retrieve	falsely:72,;
relation indicate	relation:69,;
language adequate	language:99,99,;
center of	center:48,;
make once	make:64,;
is shown	is:62,82,104,109,;
error is	error:80,;
which use	which:88,88,;
we then	we:60,60,;
a high	a:77,77,;
the exchange	the:85,85,;
be able	be:99,;
y be	y:80,;
have to	have:64,78,64,78,;
root weight	root:80,;
thesaurus term	thesaurus:69,69,;
that serve	that:101,101,;
architecture of	architecture:85,88,85,88,;
evaluating a	evaluating:88,;
document to	document:67,67,;
critically evaluate	critically:79,;
were identified	were:63,;
form it	form:69,69,;
and mechanized	and:32,32,;
language database	language:92,;
is economically	is:72,;
and stumble	and:40,;
in maximize	in:43,;
be subject	be:61,;
are described	are:85,98,101,;
be now	be:58,;
benefits accruing	benefits:100,;
used what	used:53,;
social indicator	social:91,91,91,;
effective manner	effective:99,99,;
be not	be:47,50,70,75,81,91,;
the speed	the:112,112,;
experimental test	experimental:87,;
computer procedure	computer:72,;
have si	have:91,;
showed that	showed:99,;
document base	document:96,;
operating details	operating:52,;
be predict	be:66,;
modify query	modify:61,;
is ultimately	is:57,;
individual construct	individual:61,;
line distinguish	line:48,;
will largely	will:108,108,;
plurals past	plurals:67,;
and landscapes	and:64,;
table of	table:106,106,;
the 177	the:91,91,;
collect further	collect:93,93,;
major section	major:67,67,67,67,;
through the	through:56,76,56,76,;
forms the	forms:62,;
service e	service:66,66,;
per answer	per:72,72,;
method for	method:12,;
system were	system:106,;
have shown	have:71,;
mechanized system	mechanized:32,;
be compare	be:65,68,79,111,112,;
paper note	paper:100,;
database record	database:92,;
next iteration	next:93,93,93,93,;
selected in	selected:72,;
are often	are:43,90,;
possible evaluation	possible:96,96,;
affect the	affect:74,;
manual or	manual:93,93,;
the equally	the:110,110,;
produces searchonyms	produces:93,;
he home	he:66,;
for encoding	for:18,;
relevant as	relevant:102,102,;
an electronic	an:103,;
been made	been:38,40,44,;
are noted	are:82,;
whole words	whole:79,;
of pairs	of:109,;
network relationships	network:74,;
y is	y:80,;
paper will	paper:108,108,;
given combination	given:90,;
take place	take:110,;
case label	case:77,77,77,;
search base	search:65,65,;
entry development	entry:69,69,;
in part	in:99,99,;
gthe resulting	gthe:109,;
applying information	applying:49,;
other property	other:95,;
processing methods	processing:101,;
encyclopedia apparently	encyclopedia:59,59,;
authors point	authors:58,;
then form	then:62,;
this weighting	this:95,95,;
word roots	word:67,;
parameters and	parameters:80,;
to map	to:75,75,;
even larger	even:93,;
experimental work	experimental:108,108,;
represented in	represented:78,;
describe which	describe:111,;
follow y	follow:80,;
phases of	phases:69,;
there is	there:47,47,50,50,;
of personnel	of:39,39,;
aspect i	aspect:89,;
bibliographic retrieval	bibliographic:98,99,98,99,;
scisearch involves	scisearch:91,;
of obtain	of:17,;
there in	there:1,1,;
pairs were	pairs:91,;
a document	a:65,67,83,95,96,106,65,67,83,95,96,106,;
medlars to	medlars:55,55,;
discussed and	discussed:62,;
similarity matrix	similarity:68,68,111,68,68,111,;
help them	help:39,;
keywords from	keywords:107,;
distances from	distances:109,;
to overcome	to:85,85,;
reducing clerical	reducing:69,;
attribute in	attribute:99,;
the output	the:78,78,;
design and	design:79,98,103,79,98,103,;
searchonyms via	searchonyms:93,;
alphabetic hierarchical	alphabetic:69,69,;
input pair	input:91,91,;
or center	or:47,47,;
to master	to:99,99,;
specific advantages	specific:29,;
alphabetically or	alphabetically:57,57,;
its hardware	its:94,94,;
basis for	basis:83,83,;
verbal communication	verbal:6,6,;
meaning among	meaning:71,;
error be	error:80,;
sophisticated subjects	sophisticated:61,;
comparing each	comparing:68,;
catalog base	catalog:56,;
similarity measures	similarity:60,;
and printing	and:7,7,;
the naturalness	the:82,82,;
in mind	in:57,57,;
different project	different:85,;
the problems	the:47,49,96,;
help they	help:39,;
scheme be	scheme:41,50,;
search words	search:72,72,;
will have	will:54,54,;
528 this	528:92,;
the franklin	the:108,108,;
give they	give:70,;
form be	form:82,;
speed publication	speed:12,12,;
some 4	some:92,92,;
extent that	extent:109,109,;
calculus relational	calculus:82,82,;
of information	of:5,13,25,33,39,39,42,45,94,109,5,13,25,33,39,39,42,45,94,109,;
need while	need:63,;
use weight	use:67,;
and human	and:6,67,67,;
form as	form:106,;
for dss	for:70,70,;
distribution among	distribution:84,84,;
make process	make:70,;
great variety	great:72,;
a further	a:80,80,;
they usefulness	they:63,;
and facilitates	and:69,81,;
newer techniques	newer:39,;
clustering the	clustering:93,;
or redefine	or:85,;
the corpus	the:90,90,;
previously published	previously:80,;
college group	college:90,;
term use	term:104,;
not at	not:89,89,;
relationships is	relationships:74,;
improve in	improve:65,;
way have	way:47,;
require the	require:111,111,;
valued coefficicents	valued:112,;
million record	million:92,;
x c	x:80,80,;
patron relevance	patron:84,84,;
queries inefficiently	queries:61,;
and unobstructed	and:5,5,;
more economical	more:87,87,;
certain specific	certain:90,90,;
form with	form:91,;
judgements under	judgements:61,;
unobstructed use	unobstructed:5,5,;
new scheme	new:50,;
phase the	phase:67,67,;
advanced systems	advanced:101,;
an indexed	an:105,105,;
for use	for:56,70,87,56,70,87,;
businessman need	businessman:5,;
from previous	from:107,107,;
inc rlin	inc:66,66,;
grammatical and	grammatical:9,9,;
learning representation	learning:70,70,;
best suited	best:59,;
of store	of:103,;
giving them	giving:70,;
retrieve automatically	retrieve:2,;
and actual	and:85,85,;
service center	service:58,66,66,;
be given	be:63,;
be think	be:91,;
components of	components:52,76,;
provide permuted	provide:69,;
search word	search:72,72,;
we calculated	we:60,;
for terms	for:84,;
data dictionaries	data:81,;
for datum	for:83,88,94,;
aid interpretation	aid:109,109,;
to yield	to:59,59,;
of paradigm	of:90,90,;
scisearch involve	scisearch:91,;
dictionary which	dictionary:81,;
are descriptive	are:37,;
limits applications	limits:93,;
related to	related:43,28,37,43,62,;
conventional public	conventional:46,46,;
necessity of	necessity:81,81,;
implement base	implement:77,;
special case	special:80,80,;
introduce our	introduce:81,;
languages advantages	languages:82,;
for a	for:47,65,73,84,90,99,112,65,73,84,90,99,112,;
of change	of:85,;
papers whose	papers:60,;
or university	or:46,46,46,46,;
a independent	a:85,;
library directly	library:66,66,;
that only	that:95,95,;
a detailed	a:83,99,83,99,;
describe presently	describe:7,7,;
dictionary heuristic	dictionary:67,67,;
less error	less:80,80,;
use are	use:51,94,;
by conduct	by:67,;
other knowledge	other:75,75,;
on datum	on:101,;
literature the	literature:91,91,;
paper retrieve	paper:60,72,91,;
indicators si	indicators:91,;
direct a	direct:59,59,;
that operational	that:99,99,;
document by	document:91,91,91,;
in providing	in:38,;
two group	two:91,;
feedback lead	feedback:93,;
at effectiveness	at:89,89,;
document be	document:65,67,67,68,105,105,111,112,;
solve use	solve:86,;
written describing	written:43,;
scientific journals	scientific:12,;
operate what	operate:55,55,;
only on	only:60,60,;
expected they	expected:91,;
document as	document:106,109,106,;
query augumenting	query:93,;
architectures described	architectures:83,83,;
of product	of:69,;
a concept	a:70,90,70,90,;
documents based	documents:96,;
concerned the	concerned:98,;
been written	been:43,;
corpus for	corpus:90,90,;
users a	users:99,;
large data	large:73,;
droop data	droop:80,80,;
databases should	databases:93,;
retrieval rate	retrieval:72,72,;
document using	document:67,;
two authors	two:109,;
by reducing	by:69,;
select in	select:72,;
respect to	respect:109,109,109,109,;
equally tedious	equally:110,110,;
ask whether	ask:88,;
they access	they:70,;
of one	of:93,93,;
a derived	a:73,;
our approach	our:90,;
not in	not:47,47,;
than heuristic	than:65,65,;
technology and	technology:71,100,71,100,;
more conventional	more:102,102,;
that broker	that:74,74,;
in factory	in:110,;
have lead	have:58,74,;
while other	while:70,;
permuted alphabetic	permuted:69,;
only if	only:68,68,;
study can	study:99,;
deduced as	deduced:80,;
a theoretical	a:94,94,;
group 4	group:109,;
two major	two:59,76,59,76,;
retraining of	retraining:39,;
relevant to	relevant:70,105,107,70,105,107,;
library environment	library:94,;
accepted form	accepted:41,;
is known	is:59,;
72 and	72:72,72,;
indicators of	indicators:102,;
in the	in:16,22,24,31,40,44,49,51,53,54,57,58,67,67,68,68,69,71,71,75,76,76,79,84,85,85,85,86,90,90,90,91,93,94,95,96,97,101,102,102,102,104,104,106,107,109,110,110,110,110,110,111,111,112,16,22,24,31,40,44,49,51,53,54,57,58,67,67,68,68,69,71,71,75,76,76,79,84,85,85,85,86,90,90,90,91,93,94,95,96,97,101,102,102,102,104,104,106,107,109,110,110,110,110,110,111,111,112,;
index for	index:73,73,;
of existing	of:99,;
is independent	is:111,;
with information	with:35,35,;
80 section	80:67,;
the resulting	the:60,;
what bearing	what:8,8,;
special education	special:69,69,;
several time	several:68,;
which partially	which:97,97,;
found that	found:91,106,;
position of	position:43,109,43,;
